,Unnamed: 0,province_zipCode,city_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
42872,42872,210000,210700,77,0,2,0,7,0,0,0
51031,51031,310000,400000,112,0,5,1,5,0,0,0
6577,6577,430000,430500,1013,0,686,4,102,0,80,1
40281,40281,320000,320700,341,0,23,0,20,0,1,0
11398,11398,420000,429004,61682,0,9236,1921,562,0,149,19
15244,15244,510000,510500,495,0,146,3,19,0,3,0
46835,46835,340000,340300,340,0,5,0,26,0,0,0
35101,35101,410000,411100,914,0,80,3,26,0,3,0
48376,48376,650000,400000,18,0,0,0,1,0,0,0
15645,15645,310000,310104,331,0,161,1,18,0,4,0
21039,21039,340000,341100,934,0,166,6,13,0,4,0
45556,45556,420000,422800,9074,0,267,294,105,0,4,0
51565,51565,310000,400000,101,0,5,1,2,0,0,0
15659,15659,310000,0,331,0,161,1,0,0,21,0
51119,51119,430000,430800,277,0,2,0,1,0,0,0
17935,17935,420000,429021,54406,0,4793,1457,10,0,8,0
37030,37030,420000,420100,22112,0,817,618,11618,0,535,478
34548,34548,640000,640100,45,0,3,0,29,0,3,0
40670,40670,520000,520100,64,0,8,0,12,0,4,0
44461,44461,110000,110116,212,0,9,1,1,0,0,0
42823,42823,330000,330400,829,0,60,0,23,0,0,0
24833,24833,410000,411000,1135,0,239,8,34,0,2,0
22957,22957,430000,430300,968,0,316,2,32,0,12,0
24398,24398,420000,420500,33366,0,2654,1068,784,0,62,8
22005,22005,440000,441400,1241,0,308,2,13,0,5,0
17694,17694,420000,421200,54406,0,4817,1457,840,0,127,8
47902,47902,500000,500112,247,0,3,1,11,0,0,0
34648,34648,330000,330400,1048,0,127,0,37,0,1,0
33273,33273,440000,440900,1095,0,105,1,8,0,1,0
32730,32730,430000,430300,803,0,143,1,28,0,7,0
29347,29347,230000,230400,331,0,15,7,5,0,1,0
46528,46528,150000,150400,27,0,1,0,2,0,0,0
38570,38570,500000,500111,389,0,15,2,7,0,0,0
30140,30140,500000,500241,450,0,48,2,1,0,1,0
49115,49115,330000,330300,538,0,14,0,227,0,7,0
50657,50657,110000,400000,114,0,4,1,9,0,0,0
32496,32496,420000,420800,24953,0,1211,699,588,0,36,18
10234,10234,340000,341100,987,0,429,6,13,0,7,0
24021,24021,450000,451300,222,0,32,1,11,0,0,0
36371,36371,420000,422800,22112,0,828,618,157,0,10,0
28819,28819,410000,410200,1073,0,179,6,24,0,1,0
2417,2417,450000,450200,252,0,134,2,24,0,12,0
1672,1672,440000,441400,1347,0,843,7,16,0,12,0
2637,2637,330000,0,1205,0,795,1,36,0,0,0
11847,11847,310000,310115,333,0,186,2,60,0,37,0
45124,45124,420000,429005,11177,0,295,350,35,0,0,1
19772,19772,530000,0,162,0,36,0,5,0,2,0
12706,12706,120000,120114,127,0,48,3,2,0,1,0
33459,33459,500000,500102,428,0,32,2,3,0,0,0
23847,23847,130000,130200,251,0,54,2,33,0,3,0
9236,9236,440000,440300,1332,0,642,5,416,0,199,2
21360,21360,620000,620700,90,0,39,2,2,0,2,0
10153,10153,320000,320100,631,0,331,0,93,0,38,0
49362,49362,440000,441200,436,0,10,0,6,0,0,0
36723,36723,410000,410500,914,0,68,3,40,0,1,0
30316,30316,340000,340600,779,0,72,1,23,0,4,0
53623,53623,410000,410400,168,0,0,1,5,0,0,0
31943,31943,410000,411200,1033,0,131,6,7,0,3,0
19807,19807,230000,232700,418,0,47,11,2,0,0,0
46309,46309,310000,-1,182,0,10,1,74,0,5,1
44311,44311,430000,430800,521,0,16,0,3,0,0,0
20477,20477,410000,410300,1184,0,342,11,30,0,4,0
31396,31396,340000,340600,779,0,66,1,23,0,1,0
24575,24575,460000,460200,157,0,27,3,54,0,11,1
5726,5726,140000,140300,132,0,82,0,4,0,3,0
35088,35088,410000,410900,914,0,80,3,5,0,0,0
2246,2246,430000,431100,1016,0,768,4,43,0,41,0
155,155,420000,422800,65596,0,23361,2641,251,0,164,4
51151,51151,210000,211100,41,0,1,0,3,0,0,0
30766,30766,500000,500152,450,0,51,2,13,0,0,0
46863,46863,360000,360900,333,0,10,0,31,0,1,0
8329,8329,430000,431300,1011,0,654,4,76,0,54,0
29707,29707,620000,622900,79,0,15,1,3,0,2,0
40584,40584,510000,511000,301,0,24,1,15,0,0,0
46394,46394,530000,530500,99,0,2,0,8,0,0,0
24658,24658,500000,500152,509,0,79,3,15,0,0,0
39665,39665,410000,410800,851,0,54,2,17,0,1,0
15760,15760,430000,431000,1006,0,479,3,39,0,26,0
31687,31687,420000,420100,27100,23638,1440,780,14982,0,877,608
32632,32632,370000,370700,416,0,44,0,31,0,0,0
41728,41728,320000,320200,341,0,17,0,26,0,1,0
48800,48800,510000,510600,207,0,3,1,7,0,0,0
6924,6924,230000,231200,479,0,197,12,47,0,29,4
42918,42918,110000,-1,212,0,12,1,19,0,2,0
8552,8552,440000,441700,1333,0,665,5,13,0,10,0
49247,49247,530000,530400,83,0,1,0,6,0,0,0
52363,52363,530000,400000,51,0,0,0,2,0,0,0
5398,5398,330000,330600,1205,0,747,1,42,0,28,0
480,480,420000,420100,65596,0,23222,2641,47824,0,13328,2104
33015,33015,410000,411300,981,0,105,4,128,0,12,2
319,319,440000,441900,1347,0,890,7,97,0,43,1
50652,50652,110000,400000,114,0,4,1,15,0,2,0
36968,36968,620000,620800,67,0,9,0,1,0,0,0
44628,44628,500000,500108,312,0,7,2,7,0,0,0
11449,11449,330000,331100,1174,0,580,0,17,0,14,0
7748,7748,410000,410700,1267,0,735,19,57,0,32,3
54839,54839,140000,140200,13,0,0,0,1,0,0,0
31738,31738,330000,330400,1075,0,185,0,38,0,1,0
4207,4207,360000,360300,934,0,645,1,33,0,16,0
12967,12967,610000,610600,240,0,85,0,8,0,6,0
6922,6922,230000,230200,479,0,197,12,43,0,22,1
53680,53680,360000,361100,72,0,2,0,7,0,0,0
19139,19139,530000,0,162,0,39,0,0,0,2,0
53338,53338,620000,620100,19,0,0,0,11,0,0,0
25993,25993,520000,0,127,0,17,1,0,0,4,0
45883,45883,430000,431200,463,0,12,0,31,0,1,0
1873,1873,420000,429005,65187,0,20912,2615,195,0,91,8
56704,56704,530000,400000,5,0,0,0,1,0,0,0
51969,51969,210000,210100,39,0,0,0,9,0,0,0
45890,45890,430000,430300,463,0,12,0,16,0,0,0
52272,52272,310000,400000,80,0,5,1,3,0,0,0
38520,38520,500000,500112,389,0,15,2,12,0,0,0
49610,49610,500000,400000,206,0,1,0,6,0,1,0
34146,34146,310000,310105,281,0,30,1,11,0,0,0
1423,1423,410000,410100,1271,0,1032,19,157,0,123,0
39205,39205,110000,110107,274,0,24,1,11,0,0,0
56662,56662,360000,360500,18,0,0,0,1,0,0,0
37351,37351,360000,360900,661,0,45,0,62,0,4,0
23094,23094,440000,445200,1241,0,289,2,8,0,3,0
49379,49379,150000,152200,20,0,0,0,1,0,0,0
48439,48439,420000,421100,7153,0,166,249,726,0,17,14
25071,25071,340000,341600,889,0,119,4,97,0,12,0
23259,23259,150000,150700,61,0,6,0,6,0,1,0
57305,57305,500000,500112,27,0,0,0,2,0,0,0
13662,13662,340000,341500,982,0,320,6,68,0,23,0
44286,44286,430000,430500,521,0,22,0,51,0,1,0
41608,41608,430000,430800,593,0,31,0,3,0,0,0
27954,27954,420000,420200,29631,0,1828,871,805,0,67,3
1073,1073,460000,469007,168,0,129,5,3,0,2,0
18869,18869,340000,341600,950,0,213,6,107,0,25,0
24843,24843,330000,330300,1131,0,316,0,481,0,118,0
47447,47447,420000,429006,7153,0,166,249,82,0,0,7
51641,51641,420000,420100,4586,0,90,162,2261,0,54,129
39809,39809,310000,310151,254,0,15,0,2,0,0,0
55845,55845,110000,400000,41,0,3,0,3,0,0,0
560,560,310000,310117,337,0,276,3,14,0,11,0
40515,40515,340000,340700,530,0,21,0,19,0,1,0
54889,54889,210000,210200,22,0,0,0,4,0,0,0
2913,2913,530000,530100,174,0,129,2,53,0,36,0
11482,11482,350000,350800,293,0,105,0,6,0,1,0
34541,34541,120000,120111,81,0,2,1,4,0,0,0
22667,22667,500000,500104,525,0,114,3,7,0,3,0
34267,34267,410000,410300,981,0,99,4,25,0,2,0
9460,9460,420000,420900,62031,0,10504,2029,3329,0,674,89
49525,49525,370000,371500,178,0,2,0,7,0,0,0
43831,43831,410000,411100,566,0,16,2,20,0,0,0
56747,56747,500000,500233,27,0,0,0,1,0,0,0
44470,44470,110000,-1,212,0,9,1,11,0,2,0
9961,9961,410000,411500,1265,0,616,19,269,0,94,2
37327,37327,330000,330900,1006,0,98,0,7,0,3,0
31330,31330,410000,411500,1033,0,136,6,205,0,24,0
3577,3577,430000,431200,1016,0,731,4,40,0,38,0
10942,10942,120000,120104,128,0,54,3,6,0,1,0
50361,50361,410000,411400,352,0,3,2,27,0,0,0
38611,38611,440000,442000,944,0,50,0,44,0,3,0
52002,52002,440000,440600,277,0,5,0,21,0,0,0
4226,4226,430000,430600,1016,0,721,4,156,0,91,1
13461,13461,220000,220400,89,0,36,1,7,0,1,0
2194,2194,610000,610600,245,0,186,1,8,0,8,0
15766,15766,420000,421100,58182,0,6642,1696,2831,0,838,78
3263,3263,110000,110113,400,0,215,4,10,0,0,0
15426,15426,510000,510900,495,0,141,3,17,0,5,0
36582,36582,340000,340100,665,0,47,0,115,0,7,0
30254,30254,420000,420800,27100,23638,1463,780,663,0,48,19
15725,15725,410000,411400,1246,0,480,16,91,0,46,3
39040,39040,230000,232700,227,0,7,3,2,0,0,0
31049,31049,500000,500153,446,0,48,2,8,0,0,0
23778,23778,510000,510500,436,0,92,1,19,0,2,0
50021,50021,120000,120111,32,0,0,0,2,0,0,0
12309,12309,450000,450600,244,0,76,2,18,0,6,0
1961,1961,110000,110109,400,0,235,4,3,0,2,0
2124,2124,500000,500111,576,0,372,6,14,0,10,0
16785,16785,320000,320600,617,0,218,0,40,0,15,0
30859,30859,500000,0,446,0,48,2,4,0,0,0
51687,51687,420000,422800,4586,0,90,162,66,0,0,0
28717,28717,530000,530500,141,0,19,0,9,0,0,0
40736,40736,500000,500229,376,0,15,2,2,0,0,0
6548,6548,330000,331000,1205,0,705,1,146,0,92,0
44762,44762,370000,371500,259,0,6,0,10,0,0,0
39494,39494,330000,331100,954,0,81,0,16,0,1,0
24854,24854,430000,430100,946,0,283,2,223,0,56,0
15137,15137,500000,500236,552,0,210,5,20,0,6,0
54381,54381,500000,500151,110,0,0,0,1,0,0,0
44581,44581,500000,500112,312,0,8,2,12,0,0,0
16701,16701,530000,530700,171,0,42,0,7,0,5,0
8726,8726,440000,441700,1333,0,664,5,13,0,10,0
46131,46131,530000,532500,99,0,3,0,5,0,1,0
3626,3626,410000,411300,1271,0,943,19,155,0,124,3
44697,44697,420000,429021,11177,0,295,350,7,0,2,0
9268,9268,430000,430100,1010,0,634,4,242,0,125,2
57134,57134,420000,420100,549,0,0,0,495,0,0,0
26288,26288,120000,120104,104,0,10,2,3,0,0,0
43489,43489,510000,511600,282,0,14,1,24,0,1,0
51050,51050,440000,441800,311,0,7,0,6,0,0,0
23268,23268,330000,330100,1145,0,327,0,162,0,63,0
50533,50533,310000,400000,128,0,5,1,22,0,0,0
20155,20155,500000,500110,532,0,139,5,22,0,1,0
13777,13777,340000,341700,982,0,298,6,17,0,6,0
32111,32111,220000,220100,78,0,5,1,37,0,1,0
19256,19256,340000,340100,950,0,198,6,168,0,38,1
42042,42042,130000,130700,135,0,4,1,10,0,0,0
22488,22488,410000,411400,1169,0,274,10,87,0,14,0
53158,53158,110000,400000,91,0,2,1,7,0,0,0
6486,6486,330000,330500,1205,0,706,1,10,0,7,0
50665,50665,110000,400000,114,0,4,1,15,0,2,0
25693,25693,310000,310118,306,0,53,1,5,0,2,0
33500,33500,420000,421100,24953,0,1132,699,2041,0,105,36
52126,52126,310000,400000,96,0,5,1,5,0,0,0
35775,35775,500000,0,415,0,25,2,4,0,0,0
34470,34470,460000,469006,124,0,11,2,12,0,0,0
52190,52190,370000,370900,130,0,1,0,3,0,0,0
33742,33742,510000,510800,363,0,54,1,6,0,0,0
16008,16008,320000,320700,626,0,226,0,48,0,13,0
43444,43444,440000,440400,797,0,21,0,64,0,1,0
10431,10431,430000,430400,1010,0,578,4,48,0,32,0
11817,11817,430000,430100,1008,0,552,4,241,0,98,2
28198,28198,330000,330200,1092,0,218,0,149,0,18,0
15902,15902,650000,650400,75,0,12,1,3,0,1,0
54551,54551,430000,433100,100,0,0,0,3,0,0,0
49898,49898,310000,400000,135,0,9,1,2,0,0,0
13867,13867,410000,410900,1257,0,514,19,17,0,4,0
47995,47995,310000,310120,169,0,10,1,5,0,0,0
27580,27580,500000,500111,486,0,66,2,14,0,1,0
5497,5497,370000,370800,754,0,318,4,257,0,31,0
37833,37833,500000,500154,400,0,24,2,18,0,2,0
5047,5047,520000,522600,146,0,91,2,10,0,8,0
3751,3751,510000,510900,527,0,269,3,17,0,10,0
6013,6013,410000,410500,1271,0,861,19,53,0,33,0
34919,34919,420000,421300,22112,0,867,618,915,0,9,9
8924,8924,420000,429006,62442,0,11788,2144,477,0,165,12
22612,22612,630000,632200,18,0,11,0,3,0,2,0
23707,23707,320000,320800,543,0,125,0,47,0,6,0
1530,1530,460000,469002,168,0,127,5,6,0,4,1
55292,55292,410000,411700,83,0,0,1,7,0,0,0
9761,9761,130000,130900,307,0,157,5,48,0,18,3
37079,37079,420000,429005,22112,0,817,618,74,0,0,1
36279,36279,410000,411000,914,0,70,3,28,0,0,0
3540,3540,610000,610900,245,0,173,1,26,0,17,0
10270,10270,510000,513200,520,0,202,3,1,0,1,0
17667,17667,150000,152200,68,0,7,0,1,0,0,0
6154,6154,410000,410700,1270,0,830,19,57,0,43,3
27050,27050,440000,442000,1177,0,192,1,58,0,16,0
45465,45465,340000,340500,340,0,7,0,27,0,0,0
25238,25238,340000,340400,889,0,117,4,24,0,6,0
15929,15929,440000,440800,1322,0,473,4,22,0,11,0
7818,7818,430000,430100,1011,0,660,4,242,0,125,2
16790,16790,320000,321300,617,0,218,0,13,0,7,0
7086,7086,450000,450400,249,0,104,2,5,0,5,0
33566,33566,340000,340300,733,0,59,0,99,0,1,0
38672,38672,230000,231200,227,0,7,3,29,0,0,2
40241,40241,440000,440200,895,0,49,0,6,0,1,0
39162,39162,310000,310109,254,0,25,1,7,0,0,0
75,75,230000,230900,480,0,270,13,17,0,12,0
11071,11071,320000,321200,631,0,315,0,37,0,22,0
45130,45130,410000,411600,566,0,14,2,47,0,1,0
7379,7379,440000,440800,1339,0,720,5,22,0,12,0
34157,34157,440000,440300,1075,0,98,1,351,0,31,0
3564,3564,460000,469030,168,0,116,5,1,0,1,0
37094,37094,420000,429006,22112,0,817,618,163,0,1,10
54564,54564,430000,433100,100,0,0,0,3,0,0,0
46202,46202,120000,0,48,0,0,0,4,0,0,0
29176,29176,520000,522700,109,0,7,1,8,0,3,0
777,777,370000,370700,756,0,381,6,44,0,24,0
7922,7922,410000,410300,1267,0,725,19,31,0,15,1
12287,12287,370000,371300,544,0,215,3,48,0,37,0
7717,7717,410000,411100,1267,0,736,19,35,0,22,0
53972,53972,310000,-1,53,0,3,1,23,0,2,0
28975,28975,440000,441500,1151,0,147,1,5,0,1,0
21439,21439,330000,331000,1145,0,360,0,144,0,49,0
26993,26993,440000,440700,1177,0,185,1,20,0,4,0
1304,1304,370000,370600,756,0,370,6,47,0,24,0
41876,41876,340000,341100,480,0,20,0,11,0,1,0
52584,52584,500000,500110,147,0,0,0,4,0,0,0
35848,35848,500000,500110,415,0,25,2,14,0,0,0
6872,6872,120000,120111,135,0,64,3,4,0,4,0
57449,57449,440000,440400,53,0,2,0,4,0,0,0
43352,43352,450000,450400,139,0,7,0,5,0,2,0
43714,43714,500000,500117,337,0,9,2,9,0,0,0
37363,37363,330000,330400,1006,0,94,0,35,0,1,0
6786,6786,420000,420300,63454,0,13652,2250,659,0,239,2
17666,17666,150000,150300,68,0,7,0,2,0,0,0
42931,42931,500000,500154,344,0,9,2,18,0,0,0
57332,57332,500000,500237,27,0,0,0,2,0,0,0
21122,21122,410000,411100,1184,0,313,11,33,0,6,0
22382,22382,460000,469027,157,0,34,4,2,0,0,0
26812,26812,320000,321100,515,0,91,0,12,0,1,0
10897,10897,420000,420900,61682,0,9251,1921,3344,0,572,82
20424,20424,130000,130400,283,0,74,3,31,0,7,0
4997,4997,460000,469006,168,0,106,4,13,0,9,0
39659,39659,410000,410700,851,0,54,2,41,0,2,0
18316,18316,420000,422800,54406,0,4792,1457,244,0,71,4
22035,22035,500000,500120,525,0,116,3,8,0,2,0
30450,30450,350000,350500,250,0,28,0,42,0,10,0
8946,8946,500000,500111,567,0,299,6,14,0,9,0
16051,16051,410000,0,1246,0,440,16,0,0,0,6
41469,41469,440000,442000,870,0,32,0,35,0,3,0
17767,17767,410000,410900,1212,0,391,13,17,0,2,0
14310,14310,140000,140700,130,0,53,0,36,0,15,0
15223,15223,320000,321300,626,0,248,0,13,0,7,0
19968,19968,440000,441800,1261,0,344,2,12,0,7,0
21892,21892,460000,469028,157,0,30,4,4,0,0,0
13328,13328,500000,500151,553,0,235,5,9,0,3,0
4617,4617,610000,610500,245,0,163,1,15,0,7,0
19687,19687,230000,231100,419,0,47,11,13,0,0,0
44017,44017,330000,330700,724,0,40,0,36,0,6,0
7699,7699,650000,650400,76,0,24,1,3,0,1,0
42555,42555,370000,370600,275,0,11,0,26,0,0,0
18715,18715,530000,0,168,0,42,0,8,0,3,0
16482,16482,420000,421000,56249,0,5666,1596,1490,0,263,36
25902,25902,120000,120106,105,0,10,2,2,0,1,0
35073,35073,410000,411300,914,0,80,3,118,0,5,2
3254,3254,110000,110102,400,0,215,4,53,0,0,0
43918,43918,210000,210700,73,0,1,0,7,0,0,0
31786,31786,460000,469023,128,0,15,2,7,0,1,1
55326,55326,420000,420700,1052,0,42,52,1,0,0,0
49339,49339,440000,441900,436,0,10,0,16,0,0,0
51743,51743,140000,140600,35,0,1,0,3,0,0,0
35429,35429,330000,330300,1006,0,123,0,421,0,49,0
24859,24859,430000,431300,946,0,283,2,69,0,18,0
33788,33788,330000,331100,1048,0,136,0,17,0,3,0
4587,4587,420000,420700,64084,0,15343,2346,1379,0,417,40
10188,10188,530000,0,172,0,67,1,4,0,1,0
28639,28639,340000,341300,830,0,86,3,31,0,3,0
27978,27978,120000,0,94,0,8,1,6,0,0,0
1791,1791,310000,-1,336,0,272,3,111,0,89,1
36218,36218,510000,510100,344,0,41,1,102,0,25,1
51117,51117,430000,430300,277,0,2,0,9,0,0,0
20079,20079,330000,330900,1155,0,377,0,10,0,5,0
34036,34036,340000,340400,733,0,55,0,21,0,3,0
531,531,340000,340100,989,0,768,6,174,0,135,1
39739,39739,450000,450100,168,0,13,0,28,0,0,0
47027,47027,130000,130100,104,1,0,1,13,0,0,0
53592,53592,370000,371700,87,0,0,1,4,0,0,0
46215,46215,120000,120103,48,0,0,0,3,0,0,0
49156,49156,440000,441400,436,0,11,0,5,0,0,0
1668,1668,440000,442000,1347,0,843,7,66,0,55,0
52080,52080,440000,441200,272,0,5,0,5,0,0,0
35908,35908,440000,441400,1034,0,75,1,12,0,4,0
49077,49077,620000,621100,35,0,0,0,2,0,0,0
44896,44896,120000,120111,54,0,1,0,2,0,0,0
19396,19396,320000,320400,604,0,160,0,43,0,11,0
10044,10044,420000,420500,62031,0,10338,2029,891,0,231,27
45593,45593,420000,429021,9074,0,261,294,7,0,2,0
27101,27101,370000,371600,486,0,72,1,11,0,5,0
57218,57218,430000,430100,24,0,0,0,8,0,0,0
2438,2438,460000,469026,168,0,123,5,7,0,3,0
11851,11851,310000,310106,333,0,186,2,16,0,9,0
45996,45996,440000,441400,632,0,14,0,7,0,0,0
52956,52956,140000,140400,27,0,0,0,1,0,0,0
19216,19216,610000,610100,232,0,54,0,114,0,21,0
48493,48493,460000,400000,57,0,1,2,2,0,0,1
38529,38529,500000,500108,389,0,15,2,8,0,0,0
43616,43616,230000,230900,155,0,2,2,8,0,0,0
35325,35325,500000,500120,415,0,28,2,8,0,0,0
56183,56183,500000,500107,57,0,0,0,2,0,0,0
39905,39905,420000,429004,16678,0,538,479,225,0,0,4
54837,54837,140000,140600,13,0,0,0,2,0,0,0
8423,8423,230000,231200,479,0,148,12,47,0,26,4
42960,42960,500000,500229,344,0,9,2,2,0,0,0
37797,37797,500000,500233,400,0,24,2,15,0,1,0
10674,10674,500000,500104,560,0,274,5,7,0,5,0
22237,22237,460000,469006,157,0,30,4,13,0,1,0
53151,53151,150000,150400,15,0,0,0,2,0,0,0
23060,23060,530000,0,155,0,25,0,4,0,0,0
47727,47727,110000,110114,168,0,9,1,12,0,0,0
21860,21860,610000,610500,229,0,46,0,14,0,0,0
33198,33198,440000,441300,1095,0,113,1,47,0,1,0
